timestamp,open,high,low,close,volume
2025-04-07 11:00:00,1495.0,1650.0,1488.88,1507.0,335385.215
2025-04-07 12:00:00,1523.67,1680.0,1507.0,1520.48,371953.85
2025-04-07 13:00:00,1520.48,1660.0,1518.88,1553.0,594446.167
2025-04-07 14:00:00,1553.0,1660.0,1545.99,1569.61,385985.482
2025-04-07 15:00:00,1569.66,1646.0,1551.0,1567.0,395505.793
2025-04-07 16:00:00,1574.5,1638.88,1548.88,1548.89,340329.797
2025-04-07 17:00:00,1548.89,1628.88,1548.89,1565.74,338003.543
2025-04-07 18:00:00,1565.74,1650.0,1562.22,1564.84,237009.822
2025-04-07 19:00:00,1562.22,1680.0,1556.42,1560.72,221280.811
2025-04-07 20:00:00,1560.72,1680.0,1558.64,1580.02,206127.544
2025-04-07 21:00:00,1580.02,1680.0,1580.02,1580.03,44309.62
2025-04-07 22:00:00,1580.03,1680.0,1580.02,1580.04,75910.948
2025-04-07 23:00:00,1580.09,1700.0,1561.02,1568.37,121106.919
2025-04-08 00:00:00,1568.99,1680.0,1561.65,1561.65,125401.709
2025-04-08 01:00:00,1561.65,1670.0,1558.66,1592.0,228754.52
2025-04-08 02:00:00,1592.0,1699.99,1587.58,1588.73,166189.703
2025-04-08 03:00:00,1588.85,1690.0,1580.97,1584.09,46709.805
2025-04-08 04:00:00,1584.1,1690.0,1584.08,1601.23,141062.434
2025-04-08 05:00:00,1601.0,1690.0,1601.0,1614.16,60721.826
2025-04-08 06:00:00,1607.29,1699.99,1600.0,1602.0,69131.96
2025-04-08 07:00:00,1602.0,1690.0,1600.0,1600.01,185649.518
2025-04-08 08:00:00,1604.75,1689.98,1558.88,1566.09,137267.055
2025-04-08 09:00:00,1566.08,1680.0,1564.91,1572.0,194359.479
2025-04-08 10:00:00,1572.0,1665.0,1564.87,1564.97,55104.839
2025-04-08 11:00:00,1564.97,1660.0,1564.96,1587.31,245321.26
2025-04-08 12:00:00,1587.31,1678.0,1587.31,1594.01,199189.006
2025-04-08 13:00:00,1594.01,1680.0,1585.18,1585.19,243916.384
2025-04-08 14:00:00,1585.19,1689.98,1585.18,1600.02,405338.626
2025-04-08 15:00:00,1600.02,1669.99,1558.88,1559.35,366332.719
2025-04-08 16:00:00,1559.35,1644.96,1558.88,1558.88,320379.697
2025-04-08 17:00:00,1558.88,1641.0,1490.0,1498.89,411321.148
2025-04-08 18:00:00,1498.89,1588.88,1498.88,1498.88,195471.428
2025-04-08 19:00:00,1498.88,1588.88,1498.88,1500.02,411992.768
2025-04-08 20:00:00,1500.02,1588.87,1500.02,1500.02,161275.08
2025-04-08 21:00:00,1500.02,1588.0,1500.02,1500.03,118106.344
2025-04-08 22:00:00,1500.03,1588.87,1499.31,1499.32,235141.548
2025-04-08 23:00:00,1499.32,1588.88,1492.88,1492.91,295020.562
2025-04-09 00:00:00,1493.1,1588.88,1492.89,1493.0,222123.122
2025-04-09 01:00:00,1493.0,1644.96,1458.88,1458.88,424583.936
2025-04-09 02:00:00,1458.96,1615.69,1419.53,1423.01,806236.78
2025-04-09 03:00:00,1423.01,1426.04,1423.0,1423.07,148950.935
2025-04-09 04:00:00,1423.07,1448.07,1414.79,1439.65,227601.611
2025-04-09 05:00:00,1439.69,1462.02,1414.79,1457.94,162550.706
2025-04-09 06:00:00,1457.94,1570.0,1457.93,1458.28,146665.158
2025-04-09 07:00:00,1458.28,1588.88,1458.28,1485.0,410339.239
2025-04-09 08:00:00,1485.0,1588.88,1468.43,1482.02,207707.591
2025-04-09 09:00:00,1482.03,1485.63,1449.75,1479.14,200500.377
2025-04-09 10:00:00,1479.24,1494.88,1413.83,1485.36,232976.253
2025-04-09 11:00:00,1485.36,1577.0,1443.64,1454.63,534324.657
2025-04-09 12:00:00,1454.62,1560.0,1441.03,1462.11,258112.322
2025-04-09 13:00:00,1461.99,1550.0,1455.11,1487.31,313503.274
2025-04-09 14:00:00,1487.32,1550.0,1421.11,1469.59,423321.146
2025-04-09 15:00:00,1469.59,1548.0,1429.89,1484.17,236994.939
2025-04-09 16:00:00,1484.17,1539.99,1482.52,1496.56,305965.243
2025-04-09 17:00:00,1496.56,1588.88,1413.58,1588.87,1685245.151
2025-04-09 18:00:00,1588.87,1638.0,1450.0,1626.96,1077287.606
2025-04-09 19:00:00,1627.0,1627.0,1540.0,1618.88,313301.982
2025-04-09 20:00:00,1618.88,1637.0,1510.0,1637.0,259790.486
2025-04-09 21:00:00,1637.0,1649.44,1511.0,1649.44,233442.441
2025-04-09 22:00:00,1649.44,1669.0,1511.0,1668.0,138291.438
2025-04-09 23:00:00,1668.0,1668.0,1500.0,1657.99,187671.366
2025-04-10 00:00:00,1656.83,1658.81,1530.0,1640.0,249179.056
2025-04-10 01:00:00,1640.0,1640.0,1530.0,1636.91,110153.226
2025-04-10 02:00:00,1636.91,1640.0,1510.0,1633.02,270728.141
2025-04-10 03:00:00,1633.0,1640.0,1500.0,1615.94,187401.753
2025-04-10 04:00:00,1615.94,1640.0,1606.6,1617.97,95941.788
2025-04-10 05:00:00,1617.97,1624.53,1606.6,1608.0,94680.333
2025-04-10 06:00:00,1608.0,1616.97,1510.0,1615.0,372016.491
2025-04-10 07:00:00,1615.0,1617.0,1438.22,1594.4,422320.31
2025-04-10 08:00:00,1594.43,1594.99,1500.0,1591.51,107904.889
2025-04-10 09:00:00,1591.5,1605.05,1500.0,1603.19,111695.874
2025-04-10 10:00:00,1603.2,1604.41,1500.0,1594.15,347364.664
2025-04-10 11:00:00,1594.16,1595.13,1505.0,1594.16,273098.235
2025-04-10 12:00:00,1594.1,1623.25,1500.0,1592.25,407011.42
2025-04-10 13:00:00,1592.25,1669.0,1509.0,1570.0,485749.072
2025-04-10 14:00:00,1570.0,1649.0,1557.59,1565.0,182817.334
2025-04-10 15:00:00,1565.0,1688.87,1500.0,1504.0,657009.139
2025-04-10 16:00:00,1504.06,1659.91,1500.0,1509.09,424876.717
2025-04-10 17:00:00,1509.09,1666.0,1500.01,1511.84,584323.784
2025-04-10 18:00:00,1511.84,1666.0,1507.51,1517.9,311282.995
2025-04-10 19:00:00,1517.9,1640.0,1514.31,1515.38,644119.181
2025-04-10 20:00:00,1515.53,1529.32,1514.41,1528.31,211457.783
2025-04-10 21:00:00,1528.31,1528.31,1528.31,1528.31,0.0
2025-04-10 22:00:00,1528.31,1528.31,1528.31,1528.31,0.0
2025-04-10 23:00:00,1528.31,1528.31,1528.31,1528.31,0.0
2025-04-11 00:00:00,1528.31,1528.31,1528.31,1528.31,0.0
2025-04-11 01:00:00,1528.31,1528.31,1528.31,1528.31,0.0
2025-04-11 02:00:00,1528.31,1610.0,1522.0,1610.0,400.727
2025-04-11 03:00:00,1581.25,1610.0,1528.31,1542.95,95014.171
2025-04-11 04:00:00,1542.93,1638.0,1541.84,1547.14,355075.269
2025-04-11 05:00:00,1547.15,1550.88,1525.34,1550.0,115994.855
2025-04-11 06:00:00,1550.01,1574.52,1550.0,1551.61,82987.544
2025-04-11 07:00:00,1551.61,1558.75,1546.61,1552.09,142338.656
2025-04-11 08:00:00,1552.07,1638.0,1540.36,1550.21,255220.967
2025-04-11 09:00:00,1550.2,1570.88,1544.18,1566.0,225803.361
2025-04-11 10:00:00,1566.0,1630.0,1501.01,1569.0,948138.57
2025-04-11 11:00:00,1569.0,1638.0,1510.0,1557.49,749376.823
2025-04-11 12:00:00,1557.49,1630.0,1510.0,1555.67,209863.729
2025-04-11 13:00:00,1555.67,1577.65,1510.0,1570.29,168825.891
2025-04-11 14:00:00,1570.29,1570.29,1413.31,1555.21,724756.852
2025-04-11 15:00:00,1555.2,1560.0,1431.01,1560.0,389031.006
2025-04-11 16:00:00,1560.0,1560.0,1430.01,1560.0,423222.236
2025-04-11 17:00:00,1560.0,1579.99,1430.01,1575.99,697966.901
2025-04-11 18:00:00,1576.0,1578.59,1481.0,1490.0,476773.711
2025-04-11 19:00:00,1490.0,1566.82,1482.0,1563.0,335437.751
2025-04-11 20:00:00,1562.86,1570.0,1488.0,1569.95,544186.741
2025-04-11 21:00:00,1570.0,1579.99,1480.0,1568.99,261328.069
2025-04-11 22:00:00,1568.99,1568.99,1563.6,1565.7,55987.153
2025-04-11 23:00:00,1565.7,1565.7,1480.0,1561.26,143877.549
2025-04-12 00:00:00,1561.26,1561.26,1561.26,1561.26,0.0
2025-04-12 01:00:00,1561.26,1561.26,1561.26,1561.26,0.0
2025-04-12 02:00:00,1561.26,1561.26,1561.26,1561.26,0.0
2025-04-12 03:00:00,1561.26,1568.8,1480.0,1553.66,56406.953
2025-04-12 04:00:00,1553.66,1568.76,1547.14,1566.75,81112.81
2025-04-12 05:00:00,1566.75,1568.99,1564.04,1567.75,51699.267
2025-04-12 06:00:00,1567.75,1574.33,1567.44,1573.11,95850.202
2025-04-12 07:00:00,1573.03,1581.7,1569.4,1580.96,167759.294
2025-04-12 08:00:00,1581.04,1599.99,1490.0,1590.97,210749.947
2025-04-12 09:00:00,1590.98,1599.99,1490.0,1596.93,196946.812
2025-04-12 10:00:00,1596.89,1596.89,1490.0,1590.55,125833.805
2025-04-12 11:00:00,1590.55,1597.45,1590.3,1593.22,112214.416
2025-04-12 12:00:00,1593.21,1599.99,1480.0,1596.85,255298.327
2025-04-12 13:00:00,1597.0,1618.0,1476.0,1617.99,219963.381
2025-04-12 14:00:00,1617.99,1618.0,1476.0,1598.0,320501.453
2025-04-12 15:00:00,1598.0,1618.0,1509.01,1609.99,479042.156
2025-04-12 16:00:00,1609.99,1617.99,1541.01,1606.0,254044.529
2025-04-12 17:00:00,1606.0,1606.0,1561.21,1605.87,128702.726
2025-04-12 18:00:00,1605.87,1605.87,1605.87,1605.87,0.0
2025-04-12 19:00:00,1605.87,1605.87,1605.87,1605.87,0.0
2025-04-12 20:00:00,1605.87,1605.87,1605.87,1605.87,0.0
2025-04-12 21:00:00,1605.87,1605.87,1605.87,1605.87,0.0
2025-04-12 22:00:00,1605.87,1605.87,1605.87,1605.87,0.0
2025-04-12 23:00:00,1605.87,1605.88,1576.1,1605.88,57165.212
2025-04-13 00:00:00,1576.1,1605.88,1550.01,1605.88,185669.969
2025-04-13 01:00:00,1605.88,1629.0,1545.0,1615.0,311436.744
2025-04-13 02:00:00,1615.0,1620.68,1596.47,1608.21,55742.534
2025-04-13 03:00:00,1608.21,1627.39,1602.63,1623.72,43471.354
2025-04-13 04:00:00,1623.73,1623.73,1551.0,1607.22,195570.884
2025-04-13 05:00:00,1607.31,1612.39,1598.44,1606.3,62717.858
2025-04-13 06:00:00,1606.29,1613.0,1551.0,1611.2,56585.55
2025-04-13 07:00:00,1611.2,1611.36,1555.0,1608.36,20324.804
2025-04-13 08:00:00,1608.36,1608.36,1550.99,1608.35,40750.0
2025-04-13 09:00:00,1607.87,1608.35,1508.0,1606.4,194637.343
2025-04-13 10:00:00,1606.4,1606.4,1515.15,1605.23,25253.974
2025-04-13 11:00:00,1600.88,1605.23,1515.15,1596.0,90416.814
2025-04-13 12:00:00,1594.44,1660.0,1508.0,1602.18,492872.08
2025-04-13 13:00:00,1602.09,1606.59,1508.0,1571.75,173728.64
2025-04-13 14:00:00,1571.75,1587.47,1510.02,1576.07,66989.595
2025-04-13 15:00:00,1562.21,1579.24,1522.51,1549.99,49498.139
2025-04-13 16:00:00,1525.02,1572.48,1525.02,1569.9,48552.089
2025-04-13 17:00:00,1531.63,1640.0,1530.01,1628.0,410340.657
2025-04-13 18:00:00,1628.0,1628.0,1541.0,1618.99,48285.763
2025-04-13 19:00:00,1618.99,1619.0,1557.0,1588.37,90876.629
2025-04-13 20:00:00,1588.35,1609.94,1557.01,1590.52,34519.548
2025-04-13 21:00:00,1590.52,1595.72,1570.0,1593.64,24438.993
2025-04-13 22:00:00,1593.65,1599.99,1578.57,1585.4,14256.598
2025-04-13 23:00:00,1585.42,1598.65,1560.0,1596.12,48016.994
2025-04-14 00:00:00,1596.33,1600.0,1560.0,1600.0,72474.048
2025-04-14 01:00:00,1600.0,1611.0,1560.0,1611.0,79722.36
2025-04-14 02:00:00,1611.0,1625.0,1555.0,1620.0,132403.238
2025-04-14 03:00:00,1620.0,1625.0,1541.0,1612.85,64343.314
2025-04-14 04:00:00,1612.85,1620.0,1542.0,1600.0,32873.997
2025-04-14 05:00:00,1600.0,1600.0,1541.0,1600.0,80675.989
2025-04-14 06:00:00,1600.0,1600.0,1541.0,1555.0,22864.712
2025-04-14 07:00:00,1588.62,1600.0,1555.0,1600.0,45002.351
2025-04-14 08:00:00,1600.0,1600.0,1541.0,1600.0,40364.303
2025-04-14 09:00:00,1600.0,1600.0,1541.0,1585.13,66415.769
2025-04-14 10:00:00,1585.13,1699.99,1540.01,1675.0,406998.639
2025-04-14 11:00:00,1675.0,1683.21,1560.0,1674.0,132110.971
2025-04-14 12:00:00,1674.0,1674.0,1580.0,1640.74,151869.327
2025-04-14 13:00:00,1640.74,1655.21,1601.0,1649.07,158129.707
2025-04-14 14:00:00,1649.07,1655.99,1600.01,1655.98,93346.759
2025-04-14 15:00:00,1655.98,1655.98,1581.0,1649.99,129187.336
2025-04-14 16:00:00,1649.99,1650.0,1583.0,1627.83,60660.407
2025-04-14 17:00:00,1627.78,1655.99,1627.51,1647.38,38093.626
2025-04-14 18:00:00,1647.37,1649.93,1635.59,1639.73,15807.007
2025-04-14 19:00:00,1639.73,1645.15,1583.0,1631.2,53215.204
2025-04-14 20:00:00,1631.2,1631.2,1581.0,1631.2,22464.132
2025-04-14 21:00:00,1631.2,1631.2,1628.64,1630.08,20825.53
2025-04-14 22:00:00,1630.08,1631.2,1615.26,1620.23,6774.306
2025-04-14 23:00:00,1620.23,1628.37,1615.94,1621.72,9368.496
2025-04-15 00:00:00,1621.92,1631.2,1581.0,1600.0,30847.379
2025-04-15 01:00:00,1600.0,1631.2,1582.0,1631.2,20862.339
2025-04-15 02:00:00,1631.2,1631.5,1616.75,1629.61,16569.775
2025-04-15 03:00:00,1629.61,1639.99,1582.0,1637.44,27811.978
2025-04-15 04:00:00,1637.36,1639.95,1583.0,1638.52,87071.66
2025-04-15 05:00:00,1638.52,1645.45,1581.0,1637.0,128832.892
2025-04-15 06:00:00,1636.72,1638.0,1625.0,1630.0,12467.944
2025-04-15 07:00:00,1630.0,1640.0,1584.0,1640.0,19776.374
2025-04-15 08:00:00,1640.0,1644.96,1600.0,1639.63,16310.898
2025-04-15 09:00:00,1639.9,1640.0,1600.0,1640.0,30103.693
2025-04-15 10:00:00,1640.0,1640.0,1582.0,1632.06,48765.031
2025-04-15 11:00:00,1632.06,1632.11,1582.0,1625.0,41925.026
2025-04-15 12:00:00,1624.38,1636.85,1600.0,1634.0,9033.174
2025-04-15 13:00:00,1633.19,1639.0,1560.0,1628.04,262028.381
2025-04-15 14:00:00,1628.04,1635.3,1575.0,1619.79,68052.706
2025-04-15 15:00:00,1619.8,1626.66,1576.0,1600.0,52736.058
2025-04-15 16:00:00,1600.0,1603.0,1576.0,1603.0,34599.035
2025-04-15 17:00:00,1598.24,1622.99,1580.01,1615.65,25290.027
2025-04-15 18:00:00,1615.36,1617.68,1580.0,1609.85,32370.451
2025-04-15 19:00:00,1609.86,1609.86,1579.0,1606.85,37509.808
2025-04-15 20:00:00,1606.75,1608.0,1580.0,1594.69,39793.591
2025-04-15 21:00:00,1594.71,1600.0,1589.99,1599.9,8142.71
2025-04-15 22:00:00,1599.9,1600.0,1583.53,1590.23,17829.69
2025-04-15 23:00:00,1590.23,1607.99,1586.72,1600.0,17178.121
2025-04-16 00:00:00,1604.96,1607.99,1576.92,1580.46,260083.362
2025-04-16 01:00:00,1580.27,1607.99,1579.93,1595.92,24505.201
2025-04-16 02:00:00,1595.94,1639.0,1592.38,1597.39,152569.772
2025-04-16 03:00:00,1597.39,1601.09,1588.8,1591.39,4936.648
2025-04-16 04:00:00,1591.39,1639.0,1580.0,1582.1,15460.004
2025-04-16 05:00:00,1582.1,1582.1,1582.1,1582.1,0.0
2025-04-16 06:00:00,1574.25,1640.0,1574.0,1575.0,10515.166
2025-04-16 07:00:00,1575.0,1575.0,1575.0,1575.0,0.0
2025-04-16 08:00:00,1571.0,1635.0,1563.38,1574.0,38962.45
2025-04-16 09:00:00,1574.0,1593.94,1553.38,1567.67,81404.078
2025-04-16 10:00:00,1567.63,1582.94,1510.01,1580.48,128646.031
2025-04-16 11:00:00,1580.43,1584.64,1571.98,1582.84,20313.1
2025-04-16 12:00:00,1582.84,1630.0,1430.0,1576.75,102317.24
2025-04-16 13:00:00,1576.72,1580.29,1568.16,1568.16,19468.543
2025-04-16 14:00:00,1567.87,1620.0,1440.0,1589.63,69256.875
2025-04-16 15:00:00,1589.63,1607.13,1440.0,1589.8,34742.163
2025-04-16 16:00:00,1589.8,1620.0,1460.0,1590.93,67717.341
2025-04-16 17:00:00,1590.93,1607.48,1460.0,1544.0,68280.209
2025-04-16 18:00:00,1544.0,1569.0,1460.0,1565.14,44297.955
2025-04-16 19:00:00,1565.14,1620.0,1460.0,1587.99,47440.052
2025-04-16 20:00:00,1587.99,1590.56,1570.6,1571.85,19512.325
2025-04-16 21:00:00,1571.68,1597.18,1450.0,1591.01,24147.243
2025-04-16 22:00:00,1591.02,1593.78,1461.78,1565.6,132129.938
2025-04-16 23:00:00,1569.0,1585.99,1450.0,1574.78,213964.483
2025-04-17 00:00:00,1575.05,1582.81,1500.0,1582.33,40377.482
2025-04-17 01:00:00,1582.33,1592.47,1480.0,1588.51,51312.386
2025-04-17 02:00:00,1588.49,1620.0,1470.0,1591.15,88528.485
2025-04-17 03:00:00,1591.15,1594.3,1470.0,1570.0,17945.346
2025-04-17 04:00:00,1570.0,1591.04,1565.0,1590.18,9664.425
2025-04-17 05:00:00,1590.12,1604.41,1589.13,1597.31,25410.457
2025-04-17 06:00:00,1597.28,1608.15,1595.75,1601.92,13401.287
2025-04-17 07:00:00,1601.92,1603.03,1460.0,1600.64,28704.724
2025-04-17 08:00:00,1600.64,1601.0,1480.0,1581.96,23234.153
2025-04-17 09:00:00,1581.96,1596.24,1485.0,1594.47,13959.039
2025-04-17 10:00:00,1594.47,1596.11,1491.99,1592.51,53973.814
2025-04-17 11:00:00,1592.53,1593.61,1500.0,1591.51,19698.24
